,Outliers,Cluster
0,0,20
1,1,33
2,0,-1
3,0,14
4,0,31
5,0,23
6,1,16
7,0,6
8,0,5
9,0,0
10,0,0
11,0,13
12,0,13
13,0,18
14,1,6
15,0,48
16,0,24
17,0,0
18,1,12
19,0,0
20,0,0
21,0,38
22,0,41
23,0,13
24,1,6
25,1,10
26,1,6
27,0,48
28,1,12
29,0,-1
30,0,29
31,0,39
32,0,29
33,0,22
34,0,-1
35,1,19
36,0,8
37,0,-1
38,0,14
39,0,13
40,1,29
41,0,14
42,0,27
43,0,5
44,0,45
45,0,42
46,0,8
47,1,-1
48,0,7
49,0,25
50,0,18
51,0,13
52,0,13
53,0,33
54,0,14
55,0,48
56,0,-1
57,0,48
58,1,33
59,0,21
60,0,27
61,0,-1
62,0,39
63,0,43
64,0,14
65,0,-1
66,0,32
67,0,10
68,0,-1
69,0,-1
70,0,32
71,0,13
72,1,12
73,0,9
74,0,13
75,0,32
76,0,44
77,0,8
78,0,41
79,1,11
80,1,31
81,0,-1
82,1,19
83,0,34
84,0,22
85,0,29
86,0,6
87,0,36
88,0,33
89,1,16
90,0,32
91,0,28
92,0,29
93,1,6
94,0,24
95,0,43
96,0,-1
97,0,12
98,0,-1
99,0,-1
100,0,24
101,0,35
102,0,-1
103,0,11
104,0,7
105,0,-1
106,0,28
107,0,0
108,0,0
109,0,-1
110,1,13
111,0,-1
112,0,1
113,0,25
114,0,13
115,0,8
116,0,23
117,0,25
118,1,-1
119,0,13
120,0,25
121,0,39
122,0,34
123,1,33
124,0,32
125,0,10
126,0,39
127,0,21
128,0,18
129,0,22
130,0,-1
131,0,15
132,0,30
133,0,11
134,1,13
135,0,0
136,0,27
137,1,1
138,0,24
139,0,42
140,0,12
141,0,26
142,0,-1
143,0,33
144,0,11
145,0,23
146,0,34
147,1,2
148,1,27
149,0,13
150,0,8
151,0,2
152,0,3
153,0,0
154,0,43
155,0,24
156,0,25
157,0,-1
158,0,-1
159,0,17
160,0,1
161,1,-1
162,1,12
163,0,13
164,0,43
165,0,45
166,0,0
167,0,0
168,0,2
169,0,45
170,0,13
171,0,25
172,0,-1
173,0,-1
174,0,0
175,0,13
176,0,-1
177,0,1
178,0,-1
179,1,19
180,0,6
181,0,32
182,0,39
183,1,13
184,1,19
185,0,-1
186,0,43
187,0,-1
188,0,39
189,1,1
190,0,-1
191,0,17
192,1,14
193,0,0
194,1,15
195,0,-1
196,1,3
197,0,30
198,0,21
199,1,11
200,0,39
201,0,-1
202,0,38
203,1,10
204,0,28
205,0,24
206,0,13
207,0,29
208,0,27
209,0,29
210,0,13
211,1,11
212,0,-1
213,0,20
214,0,0
215,0,33
216,0,-1
217,0,-1
218,0,28
219,0,25
220,0,8
221,0,32
222,1,18
223,0,8
224,0,15
225,1,13
226,0,-1
227,0,39
228,0,33
229,0,-1
230,0,-1
231,1,10
232,0,9
233,1,6
234,0,25
235,0,18
236,0,48
237,0,24
238,1,11
239,0,0
240,0,6
241,0,48
242,0,-1
243,0,13
244,0,24
245,0,13
246,0,2
247,0,-1
248,0,6
249,0,30
250,0,17
251,0,-1
252,0,-1
253,0,-1
254,1,14
255,0,9
256,0,34
257,0,3
258,0,32
259,0,32
260,0,33
261,1,13
262,0,-1
263,0,34
264,0,22
265,0,8
266,0,10
267,0,28
268,0,33
269,0,21
270,0,6
271,0,8
272,0,28
273,0,44
274,0,25
275,0,21
276,0,15
277,0,13
278,1,12
279,0,6
280,0,16
281,0,0
282,0,6
283,1,13
284,0,21
285,0,12
286,0,39
287,1,12
288,0,33
289,0,32
290,0,0
291,0,37
292,0,22
293,0,9
294,0,4
295,0,11
296,0,27
297,0,27
298,0,39
299,0,25
300,0,13
301,0,43
302,1,3
303,0,15
304,0,22
305,0,15
306,0,10
307,0,-1
308,0,32
309,0,18
310,0,23
311,0,13
312,0,19
313,0,13
314,1,12
315,0,-1
316,0,2
317,0,23
318,0,45
319,0,0
320,1,10
321,0,17
322,1,6
323,0,27
324,0,22
325,0,43
326,0,0
327,0,1
328,0,40
329,0,44
330,1,18
331,0,43
332,0,-1
333,0,5
334,0,32
335,0,4
336,0,21
337,0,25
338,0,0
339,0,-1
340,0,34
341,1,18
342,0,48
343,0,-1
344,1,13
345,0,2
346,1,27
347,0,15
348,0,15
349,0,1
350,0,19
351,0,12
352,1,14
353,0,-1
354,0,0
355,0,13
356,0,13
357,1,1
358,0,26
359,0,32
360,0,17
361,0,14
362,0,34
363,0,48
364,0,25
365,0,25
366,1,12
367,0,29
368,1,13
369,0,25
370,1,6
371,0,-1
372,1,14
373,1,16
374,0,6
375,0,27
376,0,5
377,0,24
378,1,19
379,0,26
380,0,26
381,0,-1
382,1,12
383,0,0
384,1,6
385,0,34
386,0,6
387,0,13
388,1,3
389,0,8
390,0,40
391,1,12
392,0,-1
393,0,-1
394,0,10
395,0,46
396,0,-1
397,0,23
398,0,-1
399,0,43
400,0,33
401,0,-1
402,0,13
403,0,6
404,0,12
405,1,12
406,0,34
407,0,13
408,0,0
409,0,-1
410,0,10
411,0,11
412,0,24
413,0,0
414,0,23
415,0,24
416,0,-1
417,0,28
418,0,13
419,0,-1
420,0,45
421,0,-1
422,0,0
423,0,-1
424,0,-1
425,0,27
426,0,19
427,0,-1
428,0,12
429,1,6
430,0,28
431,0,-1
432,1,14
433,0,13
434,0,42
435,0,13
436,0,24
437,1,24
438,0,25
439,0,15
440,0,13
441,0,9
442,1,29
443,0,9
444,0,6
445,0,13
446,0,13
447,0,48
448,0,1
449,0,27
450,0,19
451,1,14
452,0,-1
453,0,21
454,0,-1
455,0,17
456,0,25
457,0,34
458,1,3
459,0,40
460,0,-1
461,0,-1
462,0,17
463,0,39
464,0,-1
465,0,34
466,0,5
467,0,-1
468,0,28
469,0,-1
470,0,-1
471,1,13
472,0,10
473,0,48
474,0,10
475,0,-1
476,0,38
477,0,34
478,0,0
479,0,33
480,0,32
481,0,21
482,0,-1
483,0,23
484,0,-1
485,0,9
486,0,-1
487,0,6
488,0,5
489,0,1
490,0,12
491,0,48
492,1,6
493,0,13
494,0,0
