ASV_P,ASV_P_1,ASV_P_2,ASV_P_3,ASV_P_4,ASV_P_5,ASV_P_6,ASV_P_7,ASV_P_8,ASV_P_9,ASV_P_10,ASV_P_11,ASV_P_12,ASV_P_13,ASV_P_14,ASV_P_15,ASV_P_16,ASV_P_17,ASV_P_18,ASV_P_19,ASV_P_20,ASV_P_21,ASV_P_22,ASV_P_23,ASV_P_24,ASV_P_25,ASV_P_26,ASV_P_27,ASV_P_28,ASV_P_29,ASV_P_30,ASV_P_31,ASV_P_32,ASV_P_33,ASV_P_34,ASV_P_35,ASV_P_36,ASV_P_37,ASV_P_50,ASV_P_67,ASV_P_143,ASV_P_144,ASV_P_145,ASV_P_158,ASV_I_1,ASV_I_2,ASV_I_4,ASV_I_5,ASV_I_6
ASV_P_1,0,0.945087828,0.927113263,0.663909429,0,0,0,0,0.529625631,0.772680579,0.494638163,0,0.651730227,0.907968083,0,0,0,0,0.612989426,0,0,0,0.583131084,-0.50115582,0,0,-0.518632638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65264052,0,0,0
ASV_P_2,0.945087828,0,0.811892059,0.61149763,0.487948854,0,0,0,0,0.613921125,0,0,0.565610495,0.855848557,0,0,-0.582390829,0,0,0,0,0,0.756296942,-0.625845687,0,0,-0.705131498,0,0,-0.465908197,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.450167899,0.499207722,0,0,0
ASV_P_3,0.927113263,0.811892059,0,0,0,0,0,0,0.637143964,0.723518124,0,0,0.757607592,0.814719921,0,0,0,0,0.563898767,0,0,0,0,-0.556953471,0,0,-0.584710299,0,0,-0.568890947,0,0,0,-0.45924349,0,0,0,0,0,0,0,0,0,-0.469152735,0.746188362,0,0,0
ASV_P_4,0.663909429,0.61149763,0,0,0,0,0,0,0.658336664,0.704721184,0.693833313,0,0,0.736182118,0.520049304,0.731223356,0,0,0.823307034,0,0,0,0.451766308,-0.372667128,-0.484776346,0,0,0.659666075,-0.660872248,-0.390176898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753247142,0,0,0.501969203
ASV_P_5,0,0.487948854,0,0,0,-0.527952525,0,0,0,0,0,0,0,0.574329798,0,0,-0.426861912,0,0,0,0,0,0.673400574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.520154683,0,0,0,0,0
ASV_P_6,0,0,0,0,-0.527952525,0,0,0,0,0,0,0,-0.463455355,0,0,0,0.630005,0,0,0,-0.502326051,0,0,0.634027392,0,0,0.576993363,0,0,0,-0.468485231,0.81047516,-0.509241249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_P_7,0,0,0,0,0,0,0,0,0.492963633,0,0,0,0,0,0.677834376,0,0.781657133,0,0,0,-0.63401648,0.634681768,-0.45851497,0,-0.511127203,0.695841671,0,0,0,0,0,0,0,0,0.4667058,0,-0.478511266,0,0,0,0,0,0.575388639,0,0.496697272,0,0,0
ASV_P_8,0,0,0,0,0,0,0,0,0,0,-0.453533403,0,0,0,0.52537966,-0.373860037,0,0,0,0.562279434,0,0,0,0,0,0,0,0,0,0,-0.482398541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_P_9,0.529625631,0,0.637143964,0.658336664,0,0,0.492963633,0,0,0.754718896,0.807275058,0,0.865990548,0.576915771,0.620984734,0,0,-0.593750426,0.800056232,0,0,0,0,0,-0.615558963,0,0,0.704019144,-0.681018313,-0.466265753,0,0,0,0,0,0,-0.585336492,0,0,0,0,0,0,-0.450698408,0.882319371,0,0,0.659405941
ASV_P_10,0.772680579,0.613921125,0.723518124,0.704721184,0,0,0,0,0.754718896,0,0.690489235,0,0.789202617,0.899276308,0,0.542109248,0,0,0.718037273,0,0,0,0,-0.485468826,0,0,0,0.689909169,0,-0.579908042,0,0,0,0,0,0,0,0,0,0,0,-0.44526899,0,-0.490370322,0.648402192,0,0,0.517661216
ASV_P_11,0.494638163,0,0,0.693833313,0,0,0,-0.453533403,0.807275058,0.690489235,0,0,0.769048815,0.626379557,0,0.608411356,0,0,0.728511634,0,0,0,0,0,-0.494007614,0,0,0.710619531,-0.692073747,-0.42093262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769348374,0,0,0.617044557
ASV_P_12,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.460235094,0,0,0.698751582,0,0,0,-0.613868427,0,0,0,0,0,0,0,0,0,-0.494937757,0,-0.534086714,0,0.514368651,0,-0.500140013,0,0,0,0,0,0,0,0,0,0,0
ASV_P_13,0.651730227,0.565610495,0.757607592,0,0,-0.463455355,0,0,0.865990548,0.789202617,0.769048815,0,0,0.708985146,0,0,0,0,0.575716875,0,0,0,0,-0.504646131,0,0,0,0,-0.607281551,-0.629358383,0,-0.505381966,0,-0.492723301,0,0,0,0,0,0,0,0,0,0,0.726673025,0,0,0
ASV_P_14,0.907968083,0.855848557,0.814719921,0.736182118,0.574329798,0,0,0,0.576915771,0.899276308,0.626379557,-0.460235094,0.708985146,0,0,0.6690079,0,0,0.633851814,0,0,0,0.633547498,-0.625001358,0,0,-0.535157815,0.519428314,0,-0.563199381,0,-0.457202219,0,0,0,0,0,0,0,0,0,0,0,-0.463100241,0.611100413,0,0,0
ASV_P_15,0,0,0,0.520049304,0,0,0.677834376,0.52537966,0.620984734,0,0,0,0,0,0,0,0.556700295,-0.669092869,0,0.79153447,0,0.645294443,0,0,-0.66453607,0,0,0,-0.460414487,0,-0.482661361,0,0,0,0,0,-0.591887494,0,0,0,0,0,0.75528994,0,0.821076204,0,0,0
ASV_P_16,0,0,0,0.731223356,0,0,0,-0.373860037,0,0.542109248,0.608411356,0,0,0.6690079,0,0,0,0,0.52334241,0,0,0,0,-0.487715505,0,0,0,0,-0.653282042,0,0,0,0,0,0,0,0,0,0,-0.425875711,0,0,0,0,0,0.515573582,0,0
ASV_P_17,0,-0.582390829,0,0,-0.426861912,0.630005,0.781657133,0,0,0,0,0.698751582,0,0,0.556700295,0,0,0,0,0,-0.823114129,0.722765525,-0.564019256,0.48893211,-0.542245437,0,0,0,0,0,-0.40624736,0.642293305,-0.456997943,0.489292635,0,0,-0.473734241,0,0,0,0,0,0,0,0,0,0,0
ASV_P_18,0,0,0,0,0,0,0,0,-0.593750426,0,0,0,0,0,-0.669092869,0,0,0,-0.538740178,-0.564517628,0.654301064,-0.43508527,0,0,0.952418956,0,0,0,0.801573516,0,0.661915902,0,0.59926232,0,0,0,0.784392079,0,0,0,0,0,-0.49334255,0,-0.584466239,0,0,-0.543981266
ASV_P_19,0.612989426,0,0.563898767,0.823307034,0,0,0,0,0.800056232,0.718037273,0.728511634,0,0.575716875,0.633851814,0,0.52334241,0,-0.538740178,0,0,0,0,0,0,-0.520147578,0,0,0.910510186,-0.603461183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723301718,0,0,0.578695207
ASV_P_20,0,0,0,0,0,0,0,0.562279434,0,0,0,0,0,0,0.79153447,0,0,-0.564517628,0,0,0,0,0,0,-0.548110377,0,0,0,-0.503161512,0,-0.573063282,0,-0.634776625,0,0,0,-0.808524247,0.545234552,0,0,-0.452553959,0,0.574601258,0,0.51369534,0,0,0
ASV_P_21,0,0,0,0,0,-0.502326051,-0.63401648,0,0,0,0,-0.613868427,0,0,0,0,-0.823114129,0.654301064,0,0,0,0,0,0,0.667724983,0,0,0,0,0,0,0,0.563592245,0,-0.478622959,0,0.546376981,0,0,0,0,0,0,0,0,0,0,0
ASV_P_22,0,0,0,0,0,0,0.634681768,0,0,0,0,0,0,0,0.645294443,0,0.722765525,-0.43508527,0,0,0,0,0,0,-0.488842603,0.530983756,0,0,-0.449600126,0,0,0,0,0.493470901,0,0,0,0,0,-0.446570482,0,0,0,0,0.633835393,0,0,0
ASV_P_23,0.583131084,0.756296942,0,0.451766308,0.673400574,0,-0.45851497,0,0,0,0,0,0,0.633547498,0,0,-0.564019256,0,0,0,0,0,0,-0.509885334,0,0,-0.559946852,0,0,0,0,0,0,0,0,0,0,-0.500710682,0,0,0,0,-0.450379965,0,0,0,0,0
ASV_P_24,-0.50115582,-0.625845687,-0.556953471,-0.372667128,0,0.634027392,0,0,0,-0.485468826,0,0,-0.504646131,-0.625001358,0,-0.487715505,0.48893211,0,0,0,0,0,-0.509885334,0,0,0,0.922138815,0,0,0.861155927,0,0.681233626,-0.55885873,0,0,0.485827842,0,0,0,0,0,0,0,0.847589826,0,0,0,0
ASV_P_25,0,0,0,-0.484776346,0,0,-0.511127203,0,-0.615558963,0,-0.494007614,0,0,0,-0.66453607,0,-0.542245437,0.952418956,-0.520147578,-0.548110377,0.667724983,-0.488842603,0,0,0,0,0,0,0.820767293,0,0.651187092,0,0.593264429,0,0,0,0.772327465,0,0,0,0,0,-0.483662364,0,-0.616061518,0,0,-0.542704885
ASV_P_26,0,0,0,0,0,0,0.695841671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530983756,0,0,0,0,0,0,0,-0.560304667,0,0,0.42413275,0,0,0,0,0,0,0,0,0,0,-0.573913334,0,0,0,0
ASV_P_27,-0.518632638,-0.705131498,-0.584710299,0,0,0.576993363,0,0,0,0,0,0,0,-0.535157815,0,0,0,0,0,0,0,0,-0.559946852,0.922138815,0,0,0,0,0,0.742058421,0,0.646767939,0,0,0,0,0,0,0,0,0,0,0,0.838340142,-0.502515832,0,0,0
ASV_P_28,0,0,0,0.659666075,0,0,0,0,0.704019144,0.689909169,0.710619531,0,0,0.519428314,0,0,0,0,0.910510186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54430406,0,0.607102434,0.646168886
ASV_P_29,0,0,0,-0.660872248,0,0,0,0,-0.681018313,0,-0.692073747,0,-0.607281551,0,-0.460414487,-0.653282042,0,0.801573516,-0.603461183,-0.503161512,0,-0.449600126,0,0,0.820767293,0,0,0,0,0,0.490550709,0,0,0,0,0,0.641301359,0,0,0,0,0,0,0,-0.689660588,0,0,-0.564186968
ASV_P_30,0,-0.465908197,-0.568890947,-0.390176898,0,0,0,0,-0.466265753,-0.579908042,-0.42093262,0,-0.629358383,-0.563199381,0,0,0,0,0,0,0,0,0,0.861155927,0,-0.560304667,0.742058421,0,0,0,0,0.762460229,-0.623478938,0,0,0.579141217,0,0,0,0,0,0,0,0.859847013,-0.508294583,0,0,0
ASV_P_31,0,0,0,0,0,-0.468485231,0,-0.482398541,0,0,0,-0.494937757,0,0,-0.482661361,0,-0.40624736,0.661915902,0,-0.573063282,0,0,0,0,0.651187092,0,0,0,0.490550709,0,0,0,0.689761685,0,0,-0.431416254,0.671660842,0,0,0,0,0,0,0,0,0,0,0
ASV_P_32,0,0,0,0,0,0.81047516,0,0,0,0,0,0,-0.505381966,-0.457202219,0,0,0.642293305,0,0,0,0,0,0,0.681233626,0,0,0.646767939,0,0,0.762460229,0,0,-0.552783792,0,0,0.521534544,0,0,0,-0.559554356,0,0,0,0.587976582,0,0,0,0
ASV_P_33,0,0,0,0,0,-0.509241249,0,0,0,0,0,-0.534086714,0,0,0,0,-0.456997943,0.59926232,0,-0.634776625,0.563592245,0,0,-0.55885873,0.593264429,0.42413275,0,0,0,-0.623478938,0.689761685,-0.552783792,0,0,-0.539690103,-0.611521134,0.732986809,0,0,0,0,0,0,-0.475246847,0,0,0,0
ASV_P_34,0,0,-0.45924349,0,0,0,0,0,0,0,0,0,-0.492723301,0,0,0,0.489292635,0,0,0,0,0.493470901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_P_35,0,0,0,0,0,0,0.4667058,0,0,0,0,0.514368651,0,0,0,0,0,0,0,0,-0.478622959,0,0,0,0,0,0,0,0,0,0,0,-0.539690103,0,0,0.695725169,-0.611358664,0,0,0,0,0,0,0,0,0,0,0
ASV_P_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485827842,0,0,0,0,0,0.579141217,-0.431416254,0.521534544,-0.611521134,0,0.695725169,0,-0.490836797,0,0,0,0,0,0,0,0,0,0,0
ASV_P_37,0,0,0,0,0,0,-0.478511266,0,-0.585336492,0,0,-0.500140013,0,0,-0.591887494,0,-0.473734241,0.784392079,0,-0.808524247,0.546376981,0,0,0,0.772327465,0,0,0,0.641301359,0,0.671660842,0,0.732986809,0,-0.611358664,-0.490836797,0,-0.485347912,0,0,0,0,0,0,-0.597030197,0,0,-0.474417708
ASV_P_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545234552,0,0,-0.500710682,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.485347912,0,0,0,0,0,0,0,0,0,0,0
ASV_P_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_P_143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.425875711,0,0,0,0,0,-0.446570482,0,0,0,0,0,0,0,0,0,-0.559554356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_P_144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.452553959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_P_145,0,0,0,0,0,0,0,0,0,-0.44526899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_P_158,0,0,0,0,-0.520154683,0,0.575388639,0,0,0,0,0,0,0,0.75528994,0,0,-0.49334255,0,0.574601258,0,0,-0.450379965,0,-0.483662364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_I_1,0,-0.450167899,-0.469152735,0,0,0,0,0,-0.450698408,-0.490370322,0,0,0,-0.463100241,0,0,0,0,0,0,0,0,0,0.847589826,0,-0.573913334,0.838340142,0,0,0.859847013,0,0.587976582,-0.475246847,0,0,0,0,0,0,0,0,0,0,0,-0.624513846,0,0,0
ASV_I_2,0.65264052,0.499207722,0.746188362,0.753247142,0,0,0.496697272,0,0.882319371,0.648402192,0.769348374,0,0.726673025,0.611100413,0.821076204,0,0,-0.584466239,0.723301718,0.51369534,0,0.633835393,0,0,-0.616061518,0,-0.502515832,0.54430406,-0.689660588,-0.508294583,0,0,0,0,0,0,-0.597030197,0,0,0,0,0,0,-0.624513846,0,0,0,0
ASV_I_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515573582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_I_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607102434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729243424
ASV_I_6,0,0,0,0.501969203,0,0,0,0,0.659405941,0.517661216,0.617044557,0,0,0,0,0,0,-0.543981266,0.578695207,0,0,0,0,0,-0.542704885,0,0,0.646168886,-0.564186968,0,0,0,0,0,0,0,-0.474417708,0,0,0,0,0,0,0,0,0,0.729243424,0
